title,comment_count,averge_price,type,area,recommend,group_purchase,preferential
希尔顿酒店-豫园中餐厅,2322,￥127,粤菜馆,曼哈顿广场/英协路,鲜虾饺， 杨枝甘露， 天鹅榴莲酥,希尔顿酒店-豫园中餐厅!【豫园踏春好“食”光】豫园中餐厅10人套餐,无
绽放bloom cafe(中原路店),717,￥43,咖啡,医学院,Dirty， 手冲单品咖啡， 澳白拿铁,无,无
禾珍珠家常小馆(马庄街店),3650,￥57,豫菜,郑东新区CBD,禾珍珠小锅米饭， 土豆炖牛腩， 红烧南湾鱼块,禾珍珠家常小馆!【禾珍珠】欢乐六人餐,无
5号公路美式石烧牛扒(惠济万达店),4155,￥107,牛排,惠济万达广场,传统意大利肉酱面， 德国香肠片配风味腌菜丝， 墨西哥香辣牛肉脆饼,5号公路美式石烧牛扒!【5号公路.惠济万达专享】超值牛排双人餐,无
睿时甜品蛋糕(政六街店),737,￥55,面包蛋糕,国贸360,宇宙航行—巧克力星球蛋糕， 怦然心动—钻石心水果慕斯， 不朽之花—巧克力玫瑰慕斯,睿时甜品蛋糕!仅售98元！价值128元的芒果斑斓血糯米1个，约4英寸，圆柱体。,无
鲍师傅糕点(国际友谊广场店),2272,￥33,面包蛋糕,火车站/二七广场,海苔肉松小贝， 蟹黄肉松小贝， 奶香提子酥,鲍师傅糕点!【每日现做】脆巧泡芙（4枚分享装）,无
卓妈跳跳小面(四月天小区店),681,￥23,面馆,陈砦,肥肠面， 杂酱面， 牛肉面,无,无
阿五黄河大鲤鱼(建业路店),3042,￥112,豫菜,建业路/英协花园,红烧黄河鲤鱼， 牛奶炒饭， 熬炒鸡,阿五黄河大鲤鱼!【好评必点】双人餐,无
拾岁火锅(普罗旺世店),4339,￥60,四川火锅,普罗旺世/庙李,番茄锅， 传统肥牛， 招牌番茄汤,拾岁火锅!【美味随心】2人餐,无
花雕醉鸡(巩义店),940,￥34,快餐简餐,体育馆,五年陈醉鸡， 高筋皮带面， 花雕醉鸡,花雕醉鸡!仅售149元！价值184元的花雕醉鸡，建议4-6人使用。,无
苏北胖哥龙虾(安康路店),1413,￥98,小龙虾,大商/升龙城,金汤蒜蓉小龙虾， 十三香麻辣龙虾， 十三香龙虾（小）,苏北胖哥龙虾!仅售138元！价值148元的虾路相逢·上头双人餐。,有
陈实在豆花鱼火锅(郑州总店),969,￥55,鱼火锅,长途客运总站,麻辣锅底， 榴莲面包， 黑鱼,陈实在豆花鱼火锅!仅售218元！价值383元的黑鱼4-5人餐。,无
鲜静南门涮肉(建国店),2744,￥80,老北京火锅,曼哈顿广场/英协路,鲜活鲍鱼， 南门传统鲜肉， 臻品肥牛,鲜静南门涮肉!仅售888元！价值1088元的【蛇来运转】纳福迎新涮肉6-8人餐，可免费使用包间。,无
巴奴毛肚火锅(金水东路店),1802,￥140,重庆火锅,郑东新区CBD,经典毛肚， 野山菌汤， 乌鸡卷,巴奴毛肚火锅!甄选牛肉|澳洲和牛加量20%（赠菜品）,有
原始泥炉烤肉(英协路店),3048,￥90,融合烤肉,曼哈顿广场/英协路,黑椒鲜牛里脊， 秘制牛肋条， 牡蛎肉,原始泥炉烤肉!仅售90元！价值100元的代金券1张，全场通用，单次消费最多可用1张，不可与其它代金券叠加使用。,无
炉小哥烤肉(正弘城店),4380,￥90,融合烤肉,正弘中心,澳洲雪花肥牛， 粒粒拉丝芝士炒饭， 黑毛猪五花,炉小哥烤肉!满足四人餐,有
长申海鲜(正弘城店),528,￥75,海鲜,正弘中心,鲍鱼， 帝王蟹， 大闸蟹,无,无
瓦库茶馆32号(盛华里店),1992,￥100,苏浙菜,经开区,普洱茶黑猪鲜排骨， 十六年经典菌皇砂锅煲， 岩茶红烧肉,瓦库茶馆32号!双人优享套餐,有
乐美上海菜(郑州建业艾美酒店),2196,￥109,江浙菜,建业路/英协花园,宫保焗虾球， 榴莲酥， 蒜蓉粉丝蒸扇贝,乐美上海菜!港式双皮奶,无
五世名厨豫菜馆(纬二路店),4631,￥103,豫菜,人民路/紫荆山,（非遗）大葱烧海参（大份）， 干煸翅中， 上汤虾仁鲜腐竹,五世名厨豫菜馆!【春日尝鲜】豫菜4人餐,有
巴奴毛肚火锅(曼哈顿店),1729,￥120,重庆火锅,曼哈顿广场/英协路,菌汤， 经典毛肚， 茴香小油条,巴奴毛肚火锅!仅售100元！价值100元的代金券1张，全场通用，可叠加使用。,有
ALLEARS 洗耳恭听(海滩街店),842,￥45,咖啡,大石桥/体育场,dirty， 126冷萃咖啡， 浓郁美式,无,无
上井·精致料理(正弘城店),3195,￥326,海鲜自助,正弘中心,奶酪蟹宝， 法式红酒鹅肝， 综合刺身,上井·精致料理!【仪式感十足】上井轻奢放题自助料理,无
九田家黑牛烤肉料理(营业到23点·天泽城店),4779,￥73,韩式烤肉,人民医院,照烧鸡腿饭， 黑牛牡蛎肉， 招牌超级五花肉,九田家黑牛烤肉料理!仅售88元！价值100元的代金券1张，除酒水小料炉火外全场通用，可叠加使用。,无
5号公路美式石烧牛扒(CBD店),4810,￥106,西餐,郑东新区CBD,招牌迷你汉堡， 传统意大利肉酱面， 手撕香草烤鸡,5号公路美式石烧牛扒!仅售12.8元！价值18元的【收藏打卡】专享焦糖布蕾1份。,无
月下料理(楷林IFC店),1549,￥780,日本料理,郑州东站,鹅肝手握， 三文鱼腩刺身， 越南黑虎虾沙拉,月下料理!月下定制双人套餐,无
太二酸菜鱼(正弘城店),2850,￥68,酸菜鱼/水煮鱼,正弘中心,老坛子酸菜鱼， 自助洛神花陈皮水， 没骨头鸡爪,太二酸菜鱼!招牌酸菜鱼双人餐,无
潮掌门鸭爪爪特色火锅(百年德化店),7399,￥53,火锅,火车站/二七广场,招牌鸭爪鸭翅锅， 开胃萝卜， 掌门全拼锅,潮掌门鸭爪爪特色火锅!仅售88元！价值268元的（新年钜惠）烧鸡公酸菜鱼无限自助火锅3-4人餐。,无
阿甘小馆(通泰路店),2080,￥70,苏浙菜,东建材,阿甘东坡肉， 热吻， 阿甘鲍鱼东坡肉,阿甘小馆!仅售47元！价值50元的代金券1张，全场通用，可叠加使用3张，可免费使用包间。,无
小赖毛龙虾川菜馆(农业南路店),761,￥116,小龙虾,汽车东站,小赖毛虾兵蟹将， 冰镇番茄， 炝毛豆角,无,无
金馆长烤肉(国贸360店),792,￥75,融合烤肉,国贸360,风干肠， 秘制牛肉， 口磨,金馆长烤肉!仅售289元！价值362元的超值品质四人餐。,无
很久以前羊肉串(农科路店),2823,￥85,烤串,经三路沿线,呼伦贝尔羊肉串， 面包片， 麻辣鸡翅,无,无
好彩猪肚鸡(正弘城店),5046,￥80,猪肚鸡火锅,正弘中心,招牌猪肚鸡， 茅根竹蔗水， 鲜竹升面,好彩猪肚鸡!仅售4.9元！价值10元的红豆双皮奶1份，可免费使用包间。,无
苏园餐饮·苏园(交通路店),1851,￥90,苏浙菜,郑铁体育中心,红烧肉， 金牌白丝鱼， 养生自制豆腐,苏园餐饮·苏园!仅售159元！价值200元的苏园招牌美味双人餐。,无
亭枫蟹料理(龙湖里店),574,￥322,日本料理,国家森林公园/北龙湖,帝王蟹锅， 蟹肉蒸蛋， 雪蟹火锅,亭枫蟹料理!【情人节】帝王蟹4.3斤-4.7斤,无
豆捞坊·鲜牛肉火锅(熙地港店),2744,￥104,潮汕牛肉火锅,熙地港/王府井,潮汕手打牛肉丸， 鲜切嫩肉， 吊龙,豆捞坊·鲜牛肉火锅!【特色产品】香辣牛筋牛腩,无
海底捞火锅(华润万象城店),4818,￥102,四川火锅,万象城,招牌虾滑， 捞派滑牛肉， 番茄三鲜锅,海底捞火锅!五荤四素甄选单人套餐,有
黛汀烘焙DAINTY BAKERY(翰林居店),990,￥37,面包蛋糕,宝龙城市广场/熙地港,拿破仑， 板栗芝士蛋挞， 大颗核桃拿破仑酥,黛汀烘焙DAINTY BAKERY!美味招牌布丁挞,无
杯出酸奶小食馆(炒酸奶棉纺路店),538,￥13,酸奶鲜奶,锦艺城/王府井,椰子脆脆， 抹茶奥利奥大法， 椰香脆脆,杯出酸奶小食馆!仅售12.9元！价值18.9元的椰香脆脆炒酸奶1份。,无
郑喜旺烧烤(新密总店),3065,￥73,烧烤烤串,新密市,微辣龙虾尾， 麦片紫薯， 羊肉串,郑喜旺烧烤!仅售92元！价值100元的代金券1张，除酒水，饮料外全场通用，可叠加使用5张。,无
豆捞坊·鲜牛肉火锅(二七万达店),2790,￥89,潮汕牛肉火锅,二七万达,手打牛肉丸， 吊龙， 嫩肉,豆捞坊·鲜牛肉火锅!欢乐双人餐,无
高丽烤肉尃门店(百福街店),655,￥82,韩式烤肉,东建材,南瓜粥， 石锅拌饭， 厚切黑猪五花,高丽烤肉尃门店!【品质甄选】超值双人餐,无
巴奴毛肚火锅(大卫城店),4943,￥126,重庆火锅,丹尼斯·大卫城,巴奴毛肚， 绣球菌， 厚切牛肉,巴奴毛肚火锅!【福利品】现炸小酥肉,有
遇见花儿音乐酒馆·花儿胡同(北环店),1111,￥79,川菜馆,普罗旺世/庙李,新柠檬酸菜鱼， 胡同烤鸡， 采姑娘的小蘑菇,无,无
星栖己书屋,404,￥50,咖啡,郑东新区CBD,向日葵， 知识方块， 梵高的早餐红茶,无,无
一心料理(绿城百合店),680,￥152,日本料理,熙地港/王府井,鹅肝寿司， 涮汁牛肉， 三文鱼刺身,一心料理!仅售999元！价值1118元的【高性价】日本菜5-6人餐，可免费使用包间。,无
海底捞火锅(璞丽中心店),4450,￥101,四川火锅,经三路沿线,招牌虾滑， 捞派豆花， 捞派滑嫩鸭血,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
天府火锅(商鼎店),2211,￥107,四川火锅,郑州东站,招牌菌汤锅， 内蒙古高钙羊肉， 自助调料小菜水果,天府火锅!仅售208元！价值286元的缤纷双人餐。,无
不七·谷神庭院料理,1641,￥270,日式自助,郑州东站,精品刺身拼盘， 铁板芝士大虾， 三文鱼刺身,不七·谷神庭院料理!品质轻奢单人自助【包间可用】,无
炉小哥烤肉(熙地港店),5562,￥89,融合烤肉,熙地港/王府井,粒粒拉丝芝士炒饭， 澳洲霜降肥牛， 西班牙猪五花（滋滋冒油）,炉小哥烤肉!欢乐小聚·小哥推荐双人餐,有
海底捞火锅(朗悦公园茂·生日主题店),6357,￥97,四川火锅,高新区,招牌虾滑， 捞派滑牛肉， 番茄锅底,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
炙道·和牛烧肉酒场(楷林店),1367,￥502,日式烧烤/烤肉,郑州东站,墨鱼肠， 极上雪花牛小排， 特极霜降和牛西冷,炙道·和牛烧肉酒场!仅售47.5元！价值50元的代金券1张，可叠加使用，可免费使用包间。,无
巴奴毛肚火锅(正弘城店),2451,￥126,重庆火锅,正弘中心,野山菌汤， 经典毛肚， 乌鸡卷,巴奴毛肚火锅!【入会即享】茉莉奶绿,有
马路边边串串香(太康路店),3085,￥70,串串香,西大街,串串， 冒牛肉， 冒脑花,马路边边串串香!仅售19.8元！价值58元的黄牛大叶毛肚1份。,无
黛汀烘焙DAINTY BAKERY(正弘汇店),782,￥40,甜品,科学大道,拿破仑酥， 德式布丁塔， 蛋挞,黛汀烘焙DAINTY BAKERY!仅售14.9元！价值24.9元的浓郁芝士脆3选1，建议单人使用，可免费使用包间。,无
海底捞火锅(中原万达广场店),5119,￥98,四川火锅,中原万达,招牌虾滑， 纯纯纯牛油锅， 番茄锅底,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
海底捞火锅(海汇港店),2682,￥103,四川火锅,郑州东站,番茄锅底， 招牌虾滑， 经典麻辣火锅,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
炉小哥烤肉(中原万达店),2171,￥87,融合烤肉,中原万达,澳洲雪花肥牛， 粒粒拉丝芝士炒饭， 西班牙猪五花（滋滋冒油）,炉小哥烤肉!满足四人餐,有
老吴喵馆·猫咖餐厅(建文店),2104,￥33,咖啡,建文新世界,芝士培根三明治， 芝士蛋糕， 橙汁冰美式,老吴喵馆·猫咖餐厅!【闲时】单人撸猫套餐,无
炉小哥烤肉(丹尼斯2天地店),1532,￥93,融合烤肉,郑东新区CBD,澳洲雪花肥牛， 粒粒拉丝芝士炒饭， 绿色田园卷,炉小哥烤肉!快乐双人餐,有
云海肴云南菜(建业凯旋广场店),2854,￥73,云南菜|滇菜,建业凯旋广场,原味汽锅鸡， 香茅草烤罗非鱼， 黑三剁,云海肴云南菜!仅售98元！价值100元的代金券1张，全场通用，可叠加使用。,无
清真·领头羊铜锅涮(三全路店),1685,￥85,老北京火锅,普罗旺世/庙李,羊上脑（大份）， 自助水果小料， 精品牛肉卷,清真·领头羊铜锅涮!【店长推荐】超值双人餐,无
海底捞火锅(新田360广场郑州国贸店),6497,￥106,四川火锅,国贸360,捞派滑牛肉， 招牌虾滑， 番茄锅底,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
海底捞火锅(大学路新象城店),2279,￥100,四川火锅,升龙广场,招牌虾滑， 捞派脆脆毛肚， 捞派豆花,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
海底捞火锅(名门店),3135,￥102,四川火锅,曼哈顿广场/英协路,招牌虾滑， 牛油番茄锅， 捞派滑牛肉,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
62º上清水产(大卫城店),647,￥72,日本料理,丹尼斯·大卫城,三文鱼刺身， 加州卷， 蒲烧鳗,62º上清水产!双人B套餐,无
额尔敦传统涮(七里河南路店),1189,￥97,火锅,郑州东站,大羊肉串， 草原烤包子， 秘制老酸奶,额尔敦传统涮!【额尔敦】经典双人餐,无
土房子怪味活鱼馆(未来路折扣店),5362,￥64,特色菜,富田太阳城,麻辣鱼， 黑鱼， 大盘鸡,土房子怪味活鱼馆!嗨皮生日豪华套餐6—8人（黑鱼超4.5斤需补足差价）,无
解家河南菜(名门广场店),2529,￥79,豫菜,曼哈顿广场/英协路,红焖大鱼头， 烙馍四宝拼， 梅干菜爆虾仁,解家河南菜!仅售79元！价值100元的代金券1张，可叠加使用2张。,无
祖母的厨房·黄油熟成牛排坊(大卫城店),3196,￥125,西餐,丹尼斯·大卫城,餐前面包， 罗宋汤， 祖母脆皮薯角,祖母的厨房·黄油熟成牛排坊!黄油熟成西冷牛排套餐,有
炉小哥烤肉(正弘城店),4380,￥90,融合烤肉,正弘中心,澳洲雪花肥牛， 粒粒拉丝芝士炒饭， 黑毛猪五花,炉小哥烤肉!满足四人餐,有
长申海鲜(正弘城店),528,￥75,海鲜,正弘中心,鲍鱼， 帝王蟹， 大闸蟹,无,无
瓦库茶馆32号(盛华里店),1992,￥100,苏浙菜,经开区,普洱茶黑猪鲜排骨， 十六年经典菌皇砂锅煲， 岩茶红烧肉,瓦库茶馆32号!双人优享套餐,有
乐美上海菜(郑州建业艾美酒店),2196,￥109,江浙菜,建业路/英协花园,宫保焗虾球， 榴莲酥， 蒜蓉粉丝蒸扇贝,乐美上海菜!港式双皮奶,无
五世名厨豫菜馆(纬二路店),4631,￥103,豫菜,人民路/紫荆山,（非遗）大葱烧海参（大份）， 干煸翅中， 上汤虾仁鲜腐竹,五世名厨豫菜馆!【春日尝鲜】豫菜4人餐,有
巴奴毛肚火锅(曼哈顿店),1729,￥120,重庆火锅,曼哈顿广场/英协路,菌汤， 经典毛肚， 茴香小油条,巴奴毛肚火锅!仅售100元！价值100元的代金券1张，全场通用，可叠加使用。,有
ALLEARS 洗耳恭听(海滩街店),842,￥45,咖啡,大石桥/体育场,dirty， 126冷萃咖啡， 浓郁美式,无,无
上井·精致料理(正弘城店),3195,￥326,海鲜自助,正弘中心,奶酪蟹宝， 法式红酒鹅肝， 综合刺身,上井·精致料理!【仪式感十足】上井轻奢放题自助料理,无
九田家黑牛烤肉料理(营业到23点·天泽城店),4779,￥73,韩式烤肉,人民医院,照烧鸡腿饭， 黑牛牡蛎肉， 招牌超级五花肉,九田家黑牛烤肉料理!仅售88元！价值100元的代金券1张，除酒水小料炉火外全场通用，可叠加使用。,无
5号公路美式石烧牛扒(CBD店),4810,￥106,西餐,郑东新区CBD,招牌迷你汉堡， 传统意大利肉酱面， 手撕香草烤鸡,5号公路美式石烧牛扒!仅售12.8元！价值18元的【收藏打卡】专享焦糖布蕾1份。,无
月下料理(楷林IFC店),1549,￥780,日本料理,郑州东站,鹅肝手握， 三文鱼腩刺身， 越南黑虎虾沙拉,月下料理!月下定制双人套餐,无
太二酸菜鱼(正弘城店),2850,￥68,酸菜鱼/水煮鱼,正弘中心,老坛子酸菜鱼， 自助洛神花陈皮水， 没骨头鸡爪,太二酸菜鱼!招牌酸菜鱼双人餐,无
潮掌门鸭爪爪特色火锅(百年德化店),7399,￥53,火锅,火车站/二七广场,招牌鸭爪鸭翅锅， 开胃萝卜， 掌门全拼锅,潮掌门鸭爪爪特色火锅!仅售88元！价值268元的（新年钜惠）烧鸡公酸菜鱼无限自助火锅3-4人餐。,无
阿甘小馆(通泰路店),2080,￥70,苏浙菜,东建材,阿甘东坡肉， 热吻， 阿甘鲍鱼东坡肉,阿甘小馆!仅售47元！价值50元的代金券1张，全场通用，可叠加使用3张，可免费使用包间。,无
小赖毛龙虾川菜馆(农业南路店),761,￥116,小龙虾,汽车东站,小赖毛虾兵蟹将， 冰镇番茄， 炝毛豆角,无,无
三代目·中屋·串烧酒埸,640,￥95,日本料理,郑州东站,烧鸟， 梅渍西红柿， 焗蟹煲,三代目·中屋·串烧酒埸!仅售558元！价值704元的品质4人餐，可免费使用包间。,无
韩风源烧烤涮自助餐厅(南一环店·二店),9708,￥59,烤肉自助,登封一中/国际商贸城,五花肉， 韩风源秘制蘸料不限量， 绿色果蔬不限量,韩风源烧烤涮自助餐厅!特惠单人学生自助餐,无
半亩江南,471,￥71,衢州菜,郑州东站,糖醋里脊， 衢州小炒鸡， 小炒野山笋,半亩江南!半田雅韵【温馨家聚】4人餐,无
阿五黄河大鲤鱼(海尚店),2274,￥99,豫菜,东风路,红烧黄河鲤鱼， 牛奶炒饭， 汴京烤鸭（半只）,阿五黄河大鲤鱼!【不时不食】10人餐,无
芸河薈云南菜(原盛店),1360,￥84,云南菜|滇菜,郑州东站,小锅米线， 天麻汽锅鸡锅， 香茅草烤鱼,芸河薈云南菜!七彩云南4-6人餐,无
解家河南菜(华山路店),5292,￥91,豫菜,中原万达,大烩菜， 灌汤脆皮鸭， 洛馍四宝饼,解家河南菜!仅售79元！价值100元的代金券1张，可叠加使用2张。,无
郑喜旺烧烤(龙湖店),4427,￥59,烤串,工程学院/万佳,招牌秘制虾尾， 秘制羊肉串， 麦片紫薯,郑喜旺烧烤!【闺蜜聚】2人餐,无
巴奴毛肚火锅(国贸360店),3650,￥125,重庆火锅,国贸360,经典毛肚， 茴香小油条， 野山菌汤骨汤牛油辣三味锅,巴奴毛肚火锅!高人气双人餐,有
阿妍小馆私房菜(天下城店),3950,￥71,私房菜,健康路/零零茂,八宝烤南瓜， 18秒生炒黄牛肉， 手工鸡蛋饼,阿妍小馆私房菜!仅售48元！价值50元的代金券1张，除酒水饮料外全场通用，可叠加使用。,有
炉小哥烤肉(瀚海海尚店),1703,￥90,融合烤肉,东风路,薄切精品肥牛， 粒粒拉丝芝士炒饭， 西班牙猪五花（滋滋冒油）,炉小哥烤肉!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,无
祖母的厨房·黄油熟成牛排(熙地港购物中心店),2297,￥131,西餐,熙地港/王府井,墨西哥牛肉奶酪饼， 烤土豆皮， 餐前面包,祖母的厨房·黄油熟成牛排坊!黄油熟成西冷牛排套餐,有
解家河南菜(连云路店),3445,￥78,豫菜,橄榄城,烙馍四宝拼， 麦片铁棍山药， 洛阳酸汤脆丸子,解家河南菜!【沸腾】8人餐6热6凉2主食,无
炉小哥烤肉(锦艺城购物C区店),5259,￥82,融合烤肉,锦艺城/王府井,粒粒拉丝芝士炒饭， 西班牙猪五花（滋滋冒油）， 澳洲雪花肥牛,炉小哥烤肉!烤菠萝,无
洛阳面馆(红专路店),2401,￥33,豫菜,经三路沿线,糊涂面， 焦炸丸子， 炸酱面,洛阳面馆!仅售48元！价值50元的代金券1张，可叠加使用，可免费使用包间。,无
龙隐料理(天泽街店),541,￥126,日本料理,郑东新区CBD,龙隐卷， 牛肉寿喜锅， 三文鱼刺身,龙隐料理!3-4人马粪海胆（特价）,无
围炉铜瓢牛肉(桐柏路店),860,￥82,云南火锅,嘉锦酒店,围炉铜瓢牛肉， 招牌牛肉， 招牌汤底,围炉铜瓢牛肉!仅售108元！最高价值157元的围炉2-3人餐，提供免费WiFi，提供免费停车位。,无
溢香苑瓦罐(正弘店),2060,￥37,家常菜,正弘中心,香酥饼， 纯廋酥肉瓦罐， 酥肉拼莲夹,溢香苑瓦罐!仅售47.5元！价值50元的代金券1张，全场通用，可叠加使用，可免费使用包间。,无
爸爸糖吐司面包(郑州正弘城店),1324,￥29,面包蛋糕,正弘中心,招牌原味吐司， 巧克力吐司， 招牌肉松吐司,爸爸糖吐司面包!【春游分享装】交个朋友吐司3选2,无
西贝(大卫城店),7557,￥86,西北民间菜,丹尼斯·大卫城,西贝面筋， 黄米凉糕， 西红柿浇汁莜面,西贝!西贝亲子食育课堂体验券,有
大叔韩味馆(鑫苑现代城店),671,￥75,韩式小吃,郑铁体育中心,烤五花肉， 烤麻布鱼， 辣牛肉汤,无,无
喜茶(郑州丹尼斯大卫城店),1070,￥20,茶饮果汁,火车站/二七广场,多肉葡萄(首创)， 轻芝莓莓， 芝芝芒芒（首创）,喜茶!清爽芭乐系列2选1,无
白石的深夜食堂(中原万达店),6826,￥77,日本料理,中原万达,鳗鱼饭， 芝士芒果虾， 鹅肝手握,白石的深夜食堂!微醺多人餐,无
苏园餐饮·苏园(二七万达店),4142,￥75,苏浙菜,二七万达,红烧肉， 苏式三杯鸡， 苏园桂花藕,苏园餐饮·苏园!仅售159元！价值200元的苏园招牌美味双人餐。,无
帖老大羊肉汤烩面烧烤(康复后街总店),4030,￥36,烤串,火车站/二七广场,羊肉汤， 鲜汤烩面， 羊肉串,帖老大羊肉汤烩面烧烤!鲜汤烩面+5羊肉串（下午五点半后可用）,无
好彩猪肚鸡(瀚海海尚店),2253,￥63,粤菜馆,东风路,猪肚鸡汤， 茅根马蹄竹蔗水， 腊味煲仔饭,好彩猪肚鸡!【春日好彩头】经典4人餐,无
鱼养道·重庆鱼火锅(新华路店),3162,￥68,鱼火锅,新郑金苑小区,香辣大虾， 鱿鱼须， 冰淇淋,虾湖鱿香辣虾!【春游踏青-可团配】鱼类3-4人餐,无
隹木咖啡馆(宝龙广场店),319,￥47,咖啡,宝龙城市广场/熙地港,咖啡， 面包， 咸蛋超人,无,无
奶尤·CAKE,200,￥32,面包蛋糕,正弘中心,动物奶油蛋糕， 双层复古， 永远的爱情侣蛋糕,奶尤·CAKE!仅售9.9元！价值20元的蜡烛帽子眼镜1个，约1套，圆形。,无
本草食库药膳馆(福元路店),117,￥323,特色菜,曼哈顿广场/英协路,黑松露焗大明虾， 人参蘸玫瑰酱， 紫苏叶香煎黄鱼,本草食库药膳馆!仅售90元！价值100元的代金券1张，全场通用，可叠加使用。,无
海底捞火锅(天旺店),3733,￥99,四川火锅,东风路,招牌虾滑， 捞派滑牛肉， 捞派脆脆毛肚,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
锦珍锦·生蕨专门店(南阳路店),808,￥76,粤菜馆,东风路,生蕨清远鸡， 腊味煲仔饭， 佛跳墙,锦珍锦顺德开煲!仅售399元！价值690元的锦珍锦|万食胜意4人餐。,有
鲁班张葱烧海参(绿地新都会店),308,￥360,豫菜,郑州东站,葱烧海参， 海胆八宝豆腐， 鲁班张葱烧密刺参王,鲁班张葱烧海参!【迎春节】宴请10人餐,无
解家河南菜(未来路店),1945,￥81,豫菜,郑东新区CBD,红焖大鱼头， 灌汤脆皮鸭， 烙馍四宝拼,解家河南菜!小吊梨汤,无
海底捞火锅(锦艺城店),6495,￥95,四川火锅,锦艺城/王府井,招牌虾滑， 捞派滑牛肉， 捞派脆脆毛肚,海底捞火锅!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,有
阿生哥螺蛳粉(永安街店),1415,￥20,快餐简餐,火车站/二七广场,螺肉螺蛳粉， 腐竹， 酸笋,阿生哥螺蛳粉!【热销】0糖气泡水,无
坛主酸菜鱼(锦艺城店),1404,￥61,酸菜鱼/水煮鱼,锦艺城/王府井,古法酸菜鱼， 洛神花陈皮， 鸡丝荞麦面,坛主酸菜鱼!128超值套餐（2人用）,无
炉小哥烤肉(惠济万达店),3983,￥80,融合烤肉,惠济万达广场,薄切精品肥牛， 粒粒拉丝芝士炒饭， 生菜加肉,炉小哥烤肉!欢乐小聚·小哥推荐双人餐,无
张福记(交通路店),1036,￥98,浙菜,长城康桥华城,蒜香排骨， 生煎包， 东坡肉,张福记!【必 吃】双人套餐,有
虾互联小龙虾·虾尾·烧烤,702,￥90,小龙虾,锦艺城/王府井,金汤蒜香小龙虾， 全味油焖小龙虾， 经典麻辣小龙虾,虾互联小龙虾·虾尾·烧烤!仅售49元！价值100元的代金券1张，单次消费最多可用3张，不可与其它代金券叠加使用。,无
豆捞坊·鲜牛肉火锅(正弘城店),3616,￥101,潮汕牛肉火锅,正弘中心,鲜切嫩肉， 吊龙， 手打牛肉丸,豆捞坊·鲜牛肉火锅!【工作日专享】招牌双人餐,无
太二酸菜鱼(丹尼斯大卫城店),1376,￥68,酸菜鱼/水煮鱼,火车站/二七广场,老坛子酸菜鱼， 自助洛神花陈皮茶， 脆椒小皮蛋,太二酸菜鱼!酸爽家庭3人餐,无
解家河南菜(北环路店),2977,￥79,豫菜,普罗旺世/庙李,野生南湾鱼一鱼两吃， 麦片铁棍山药， 鱼头红焖+鱼丸清炖,解家河南菜!【欢聚】4人餐4热2凉1主食,无
LanTa蓝塔烘焙(郑百店),1649,￥27,面包蛋糕,大上海城,半熟芝士， 手撕面包， 蛋挞,LanTa蓝塔烘焙!专属定制款蛋糕,无
老胖烧烤,1079,￥63,烧烤烤串,大石桥/体育场,炸饼， 蒜香花甲， 青椒,无,无
地盘薄比萨·厚汉堡(花园路万达坊店),1320,￥54,比萨,建业凯旋广场,超级至尊比萨， 泰国金枕榴莲， 金枪鱼沙拉,地盘薄比萨·厚汉堡!【地盘】超值西冷牛排次卡,无
有点湘辣椒炒肉(康平路店),1301,￥49,湘菜,汽车东站,辣椒炒肉， 皮蛋青椒擂茄子， 小锅五常鲜米饭,有点湘辣椒炒肉!仅售95元！价值100元的代金券1张，可叠加使用，可免费使用包间。,无
豆捞坊·鲜牛肉火锅(国贸360广场店),1986,￥94,潮汕牛肉火锅,国贸360,嫩肉， 潮汕手打牛肉丸， 招牌炸豆皮,豆捞坊·鲜牛肉火锅!常乐四人餐,无
诺意格披萨·披萨大叔(丰产路店),376,￥46,比萨,国贸360,黄金土豆， 丝滑红薯泥卷边， 菠萝甜虾披萨,诺意格披萨·披萨大叔!【节假优惠】9英寸肉香四溢（无卷边）,无
清真大红牛羊肉老店,336,￥93,牛羊肉火锅,西大街,大片羊肉， 牛肉卷， 牛肚,无,无
渔珺石锅鱼(天泽街店),4052,￥83,鱼火锅,宝龙城市广场/熙地港,渔珺原汤石锅鱼， 千叶豆腐， 自助小料,渔珺石锅鱼!仅售10.8元！价值16元的农家大饼蘸酱【可与团购同享】，建议2人使用，可免费使用包间。,无
食欲老院子荆芥疙瘩汤(经五路店),1900,￥76,豫菜,国贸360,老院子扒皮鱼， 荆芥疙瘩汤， 酸汤焦烧丸,食欲老院子河南民间菜!仅售238元！价值310元的【风味人间】甄选4人餐。,无
