title,comment_count,averge_price,type,area,recommend,group_purchase,preferential
boundaries籬苑(瑞光创意工厂-贰号院店),1395,￥67,特色菜,医学院,鸡里蹦， 米酒， 竹笋焖牛腩,boundaries籬苑!仅售49.9元！价值67元的双人下午茶套餐。,无
瓦库茶馆17号(海汇港店),2483,￥130,苏浙菜,郑州东站,普洱茶黑猪鲜排骨， 家烧深海大黄鱼， 瓦库小炒肉,瓦库茶馆32号!【午市专享】甄选双人套餐,有
张福记(纬五路店),3819,￥103,浙菜,金水路/省政府,东坡肉， 金牌蒜香骨， 生煎包,张福记!甄选6人餐,有
胖娃川菜馆(文化宫路店),2785,￥53,川菜馆,碧沙岗,歌乐山辣子鸡， 毛血旺， 香辣土豆丝,胖娃川菜馆!【打卡必选】胖娃特色双人餐,无
外婆家(万达坊店),2789,￥74,浙菜,正弘中心,外婆红烧肉， 外婆茶香鸡， 麻婆豆腐,外婆家!仅售98元！价值100元的代金券1张，全场通用，单次消费最多可用2张，不可与其它代金券叠加使用。,无
葛记焖饼(经一路店),13239,￥49,豫菜,经三路沿线,金牌红豆粥， 葛记焖饼， 热绿豆沙,葛记焖饼!888元团团圆圆套餐,无
厚道寿喜烧専門店·自助畅食(二七万达店),3314,￥114,寿喜锅/烧自助,二七万达,厳選霜降り牛肩肉（霜降牛肩肉）， 寿喜锅， 无菌蛋,厚道寿喜烧専門店·自助畅食!【工作日抢鲜卡】安格斯牛肉海鲜进阶餐单人自助畅吃,无
山上下日本料理(万象城店),2953,￥141,日本料理,西大街,芥末虾球， 超人气三文鱼刺身， 大坂雪花牛肉块,山上下日本料理!探店拔草·双人餐,有
麦陌(正弘城店),3712,￥43,面包蛋糕,正弘中心,核桃马里奥， 芋泥蛋黄流心吐司， 星空流沙包,无,无
奈石寿喜烧(汇艺银河里店),4365,￥126,寿喜锅/烧自助,郑州东站,寿喜烧， 澳洲雪花肥牛， 谷饲牛上脑,奈石寿喜烧!【樱你而来】单人·臻享·自助,有
58度品质川菜馆(经一路店),1407,￥75,川菜馆,经三路沿线,歌乐山辣子鸡， 平凡土豆， 成都毛血旺,58度品质川菜!仅售6.6元！价值9.9元的鸭屎香柠檬茶，建议单人使用。,无
阿庄新豫菜(通泰路店),3409,￥97,豫菜,东建材,虾锅贴， 酥香嫩烤鸭， 红烧黄河大鲤鱼,阿庄新豫菜!仅售95元！价值100元的代金券1张，可叠加使用。,无
小城外品质民间菜(工人路店),1299,￥62,豫菜,帝湖,八宝烤南瓜， 功夫酱焖鱼， 烙馍卷馓子,无,无
清真·静水瓦屋茶餐厅(经三路店),1978,￥101,豫菜,经三路沿线,火焰牛排， 乌龙荷叶牛肉， 珍菌全竹宴,清真·静水瓦屋茶餐厅!仅售47.5元！价值50元的代金券1张，除茶品外全场通用，可叠加使用，可免费使用包间。,无
山之川·日式料理(瀚海海尚店),1683,￥166,自助餐,财院/轻工业学院,法式红酒鹅肝， 烤鳗鱼， 极品刺身大拼盘,山之川·日式料理!仅售358元！价值368元的尊享海鲜放题。,无
阿庄新豫菜(黄河南路店),1777,￥97,豫菜,郑东新区CBD,虾锅贴， 信阳地锅鸡， 红烧黄河大鲤鱼,阿庄新豫菜!早春打卡必点双人餐,无
剧会音乐西餐厅(黄河路店),4142,￥108,西餐,建文新世界,香草烤春鸡， 碳烤澳洲肉眼牛排， 沙拉,剧会音乐西餐厅!仅售92元！价值100元的代金券1张，全场通用，可叠加使用。,无
清真·阿恰西域饭店(高铁站双子塔店),1426,￥72,新疆菜,体育公园,烤包子， 新疆大羊肉串， 自酿果仁酸奶,清真·阿恰西域饭店!仅售95元！价值100元的代金券1张，除酒水、饮料，酸奶外全场通用，可叠加使用，可免费使用包间。,无
隐野食堂(三天地店),1409,￥113,日本料理,郑东新区CBD,葱味烤牛舌， A级鹅肝寿司， 寿喜火锅,隐野食堂!双人甜品小套餐,无
bluefrog蓝蛙(郑州花园路万达坊店),3785,￥115,西餐,建业凯旋广场,蘑菇味狠浓牛肉汉堡， 蓝蛙秘制够呛辣牛肉汉堡， 经典炸薯条,bluefrog蓝蛙!蓝蛙尽兴单人餐,有
曼玉餐厅(绿地新都会店),2540,￥73,特色菜,祭城/大旺城,台式三杯鸡， 招牌炒饭， 蟹黄豆腐,曼玉餐厅!曼玉春日臻享情侣双人餐,无
苏园餐饮·苏荟(众意路店),2755,￥155,粤菜馆,熙地港/王府井,客家红烧肉， 13.天鹅榴莲酥， 松鼠鲑鱼,苏园餐饮·苏荟!苏荟招牌十人餐,无
俄士厨房(万达坊店),7297,￥104,俄罗斯菜,建业凯旋广场,莫斯科红菜汤， 俄式拌香鸡， 鸡肉串,俄士厨房!工作日午市单人套餐,无
溢香苑瓦罐(红专路店),2158,￥39,家常菜,国贸360,香酥饼， 纯廋酥肉瓦罐， 莲夹瓦罐,溢香苑瓦罐!仅售47.5元！价值50元的代金券1张，全场通用，可叠加使用，可免费使用包间。,无
王品牛排(郑州大卫城店),4610,￥261,牛排,丹尼斯·大卫城,王品牛排， 法式香煎鹅肝佐桂花百香果酱， 梦幻玫瑰,王品牛排!【浪漫约会】招牌双人套餐,有
阿琳娜ALAYNA(宏光百花里店),1109,￥59,川菜馆,曼哈顿广场/英协路,藤椒水晶虾， 私房牛肉炖， 巴蜀水煮牛肉,阿琳娜ALAYNA!【下午茶·优惠同享】华夫+厚多士2选1,无
郑喜旺烧烤(福元路店),6864,￥68,烤串,曼哈顿广场/英协路,新密炒虾尾， 羊肉串， 麦片紫薯,郑喜旺烧烤!【闺蜜聚】2人餐,无
二人烧(凯旋广场店),3823,￥95,韩式烤肉,建业凯旋广场,蟹柳飞鱼籽手抓饭， 玉米芝士， 猪五花,二人烧!【特色推荐】冰沙草莓,无
葛记焖饼(伏牛路店),15902,￥47,豫菜,西元国际广场,金牌红豆粥， 葛记香菇焖饼， 绿豆沙凉,葛记焖饼!888元团团圆圆套餐,无
白石的深夜食堂(二七万达店),5124,￥84,日本料理,二七万达,鳗鱼饭， 芝士芒果虾， 地狱拉面,白石的深夜食堂!仅售45元！价值50元的代金券1张，可叠加使用。,有
白石的深夜食堂·Yakitori(大卫城店),4656,￥87,日本料理,丹尼斯·大卫城,鳗鱼饭， 地狱拉面， 芝士芒果虾,白石的深夜食堂!微醺多人餐,无
蓉亭食贝(永威木色店),3021,￥78,川菜馆,郑东新区CBD,蓉派招牌毛血旺， 蓝莓山药， 蓉派馋嘴蛙,蓉亭食贝!能量满满亲子餐,有
张福记(五一公园店),1893,￥94,浙菜,碧沙岗,东坡肉， 生煎包， 金牌蒜香骨,张福记!仅售96元！价值100元的代金券1张，全场通用，可叠加使用。,有
张福记(陇海中路店),2649,￥99,浙菜,长城康桥华城,东坡肉， 蒜香排骨， 生煎包,张福记!精选3-4人餐,有
瓦库茶馆5号(众意路店),1920,￥130,苏浙菜,郑东新区CBD,十六年经典普洱茶黑猪鲜排骨， 十六年经典菌皇砂锅煲， 岩茶红烧肉,瓦库茶馆5号!【聚香欢聚】四人套茶,有
城墙根戏缘茶馆(天筑店),7294,￥150,豫菜,郑州东站,妙酱串串红， 头道汤烩面， 经典鲤鱼焙面,城墙根茶馆!仅售18元！价值22元的城门瑞兽1位。,无
海与山•和牛烧肉(龙湖里店),945,￥326,融合烤肉,国家森林公园/北龙湖,和牛特上小排， 三文鱼刺身， 自制白菜泡菜,海与山•和牛烧肉!【约会】和牛烧肉料理双人餐,无
鸟蘭精致料理(曼哈顿店),3514,￥93,日本料理,曼哈顿广场/英协路,梅浸圣女果， 日式寿喜锅， 厚切炙烤鹅肝寿司,鸟蘭精致料理!招牌料理2人餐,无
汀兰居酒屋(花园路万达坊商外街店),2428,￥99,日本料理,正弘中心,鹅肝寿司， 和牛肋条牛小排， 鹅肝炒饭,汀兰居酒屋!仅售97元！价值100元的代金券1张，可叠加使用，可免费使用包间。,无
古越舫·精品杭帮菜(正光北街店),1479,￥102,浙菜,郑东新区CBD,霉干菜烧肉， 杏仁芝麻鸡， 绍三鲜,古越舫·精品杭帮菜!仅售95元！价值100元的代金券1张，除酒水饮料外全场通用，可叠加使用10张，可免费使用包间。,无
世家牛扒城(文化路店),5492,￥90,牛排,健康路/零零茂,果木厚烤特选牛排， 铁板黑椒牛扒， 果木雪花牛小扒,世家牛扒城!亲子三人餐,无
造精酿餐厅·炭火料理,1754,￥103,西餐,郑州东站,爆浆金枪鱼披萨， 宽薯条配双簧， 芙力草莓澳洲安格斯M5菲力牛排,造精酿餐厅·炭火料理!招牌精酿,无
鲁班张葱烧海参(马庄街店),838,￥321,豫菜,郑东新区CBD,葱烧海参， 酸辣乌鱼蛋汤， 清汤松茸,鲁班张葱烧海参!【亲朋欢聚】豫菜8人餐,无
饭湘(政七街店),5045,￥53,湘菜,农科路酒吧街,肉汤泡饭， 十八秒牛肉， 擂辣椒皮蛋,饭湘!仅售368元！价值457元的【饭湘】❤️6-8人餐。,无
白石的深夜食堂(国贸360店),3623,￥86,日本料理,国贸360,鳗鱼饭， 鹅肝手握， 芝士芒果虾,白石的深夜食堂!人气大福,有
花融 · Live House餐厅(农科路店),1316,￥82,创意菜,农科路酒吧街,波辣嫩牛片， 黑椒凤梨牛肉粒， 蔬菜牛油果沙拉,花融 · Live House餐厅!仅售35.9元！价值48元的鸡尾酒4选14选1，建议单人使用。,无
阿五黄河大鲤鱼(陇海西路店),3835,￥100,豫菜,儿童公园/凯旋门,红烧黄河鲤鱼， 牛奶炒饭， 熬炒鸡,阿五黄河大鲤鱼!非遗黑香肠礼盒,无
华豫川酒家(英协路店),1534,￥95,川菜馆,曼哈顿广场/英协路,太安鲈鱼， 清一色毛血旺， 鸡丝拌荞面,华豫川酒家!仅售12元！价值20元的水果芋圆冰粉1份。,有
曼玉餐厅(中原万达店),1163,￥68,特色菜,中原万达,台式三杯鸡， 招牌炒饭， 蜂蜜厚多士,曼玉餐厅!曼玉春日春游小聚双人餐,无
阿五黄河大鲤鱼(天泽街店),3768,￥106,豫菜,宝龙城市广场/熙地港,红烧黄河大鲤鱼， 红烧黄河鲤鱼， 牛奶炒饭,阿五黄河大鲤鱼!非遗黑香肠礼盒,无
韩盛.盛江山自助烤肉(花园路万达坊店),6779,￥81,海鲜自助,建业凯旋广场,冰淇淋， 烤肉， 生蚝,韩盛.盛江山自助烤肉!【暖冬欢聚特惠开烤】单人烤肉自助不限量,无
东东鲜芋圆(郑州店),3223,￥24,甜品,大上海城,招牌芋圆， 芋泥球， 招牌大满贯,东东鲜芋圆!仅售14.8元！价值16元的红豆鲜奶麻薯1份。,无
华豫川酒家(大卫城店),3478,￥98,川菜馆,丹尼斯·大卫城,太安鱼， 鸡丝拌荞面， 清一色毛血旺,华豫川酒家!泼辣牛柳品质四人餐,有
好福记•精品家常菜•太安鱼•火爆腰花(任砦北街店),2379,￥67,川菜馆,大石桥/体育场,太安鱼， 茶树菇炒大肠， 脑花豆腐,好福记•精品家常菜•太安鱼•火爆腰花!【品质甄选】精品家常双人餐,无
